Year,%,,,,,,,,,,,,
2008,8.1,,,,,,,,,,,,
2009,10.0,,,,,,,,,,,,
2010,8.4,,,,,,,,,,,,
2011,9.2,,,,,,,,,,,,
2012,10.0,,,,,,,,,,,,
2013,9.9,,,,,,,,,,,,
2014,11.8,,,,,,,,,,,,
2015,13.7,,,,,,,,,,,,
2016,14.6,,,,,,,,,,,,
2017,14.6,,,,,,,,,,,,
2018,14.9,,,,,,,,,,,,
2019,15.8,,,,,,,,,,,,
2020,16.9,,,,,,,,,,,,
2021,17.7,,,,,,,,,,,,
2022,18.9,,,,,,,,,,,,
2023,19.6,,,,,,,,,,,,
2024,20.3,,,,,,,,,,,,
2025,20.9,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
